taxon_name,growth_habit
Acacia binervia,tree
Acacia brownii,shrub
Acacia decurrens,tree
Acacia falcata,tree
Acacia longifolia,tree
Acacia parramattensis,tree
Acacia pubescens,shrub
Acacia ulicifolia,shrub
Adiantum aethiopicum,fern
Alternanthera denticulata,herb
Amyema gaudichaudii,shrub
Amyema miquelii,shrub
Angophora floribunda,tree
Anthosachne scabra,graminoid
Aristida vagans,graminoid
Arthropodium sp. South-east Highlands (N.G.Walsh 811),herb
Asperula conferta,herb
Austrostipa rudis,graminoid
Boronia polygalifolia,subshrub
Bossiaea buxifolia,shrub
Bossiaea prostrata,subshrub
Bothriochloa macra,graminoid
Brachychiton populneus,tree
Brachyscome triloba,herb
Breynia oblongifolia,shrub
Brunoniella australis,herb
Brunoniella pumilio,herb
Bursaria spinosa,tree
Caesia parviflora,herb
Callistemon linearifolius,shrub
Callistemon linearis,shrub
Callistemon pinifolius,shrub
Callistemon salignus,tree
Calotis cuneifolia,herb
Calotis lappulacea,shrub
Carex inversa,graminoid
Cassinia sifton,shrub
Cassytha paniculata,climber
Casuarina glauca,tree
Centella asiatica,herb
Centipeda minima,herb
Cheilanthes sieberi,fern
Chloris truncata,graminoid
Chloris ventricosa,graminoid
Chorizema parviflorum,shrub
Chrysocephalum apiculatum,herb
Clematis aristata,climber_woody
Clematis glycinoides,climber_woody
Commelina cyanea,herb
Correa reflexa,shrub
Cotula australis,herb
Crassula sieberiana,herb
Cyanthillium cinereum,herb
Cymbopogon refractus,graminoid
Daviesia ulicifolia,shrub
Dendrophthoe vitellina,shrub
Denhamia silvestris,shrub
Desmodium rhytidophyllum,herb
Desmodium varians,herb
Dianella caerulea,herb
Dianella longifolia,herb
Dianella revoluta,herb
Dichelachne micrantha,graminoid
Dichondra repens,herb
Digitaria parviflora,graminoid
Dillwynia sieberi,shrub
Diuris maculata,herb
Dodonaea triquetra,shrub
Drosera peltata,herb
Echinopogon caespitosus,graminoid
Echinopogon ovatus,graminoid
Einadia hastata,herb
Einadia polygonoides,herb
Einadia trigonos,herb
Entolasia marginata,graminoid
Entolasia stricta,graminoid
Epilobium billardiereanum,herb
Eragrostis brownii,graminoid
Eragrostis leptostachya,graminoid
Eremophila debilis,shrub
Eriochloa pseudoacrotricha,graminoid
Eucalyptus amplifolia,tree
Eucalyptus eugenioides,tree
Eucalyptus fibrosa,tree
Eucalyptus globoidea,tree
Eucalyptus longifolia,tree
Eucalyptus moluccana,tree
Eucalyptus punctata,tree
Eucalyptus resinifera,tree
Eucalyptus tereticornis,tree
Euchiton involucratus,herb
Euchiton sphaericus,herb
Eustrephus latifolius,climber
Exocarpos cupressiformis,tree
Gahnia aspera,graminoid
Gahnia melanocarpa,graminoid
Geranium solanderi,herb
Glochidion ferdinandi,tree
Glossocardia bidens,herb
Glycine clandestina,climber
Glycine microphylla,herb
Glycine tabacina,climber
Goodenia hederacea,herb
Goodenia paniculata,herb
Gratiola pedunculata,herb
Hakea sericea,tree
Hardenbergia violacea,climber
Hibbertia aspera,shrub
Hibbertia diffusa,shrub
Hibbertia pedunculata,shrub
Homalanthus populifolius,tree
Hovea linearis,subshrub
Hydrocotyle sibthorpioides,herb
Hypericum gramineum,herb
Hypoxis hygrometrica,herb
Imperata cylindrica,graminoid
Indigofera australis,shrub
Isolepis cernua,graminoid
Jacksonia scoparia,tree
Juncus bufonius,graminoid
Juncus planifolius,graminoid
Juncus subsecundus,graminoid
Juncus usitatus,graminoid
Kennedia rubicunda,climber
Kunzea ambigua,shrub
Lachnagrostis filiformis,graminoid
Lasiopetalum parviflorum,shrub
Laxmannia gracilis,herb
Lepidosperma laterale,graminoid
Leptospermum polygalifolium,tree
Leptospermum trinervium,tree
Leucopogon affinis,shrub
Leucopogon juniperinus,shrub
Linum marginale,herb
Lissanthe strigosa,shrub
Lobelia anceps,herb
Lobelia purpurascens,herb
Lomandra filiformis,graminoid
Lomandra longifolia,graminoid
Lomandra multiflora,graminoid
Lythrum hyssopifolia,herb
Macrozamia spiralis,shrub
Melaleuca decora,tree
Melaleuca diosmatifolia,shrub
Melaleuca linariifolia,tree
Melaleuca nodosa,shrub
Melaleuca styphelioides,tree
Melaleuca thymifolia,shrub
Mentha diemenica,herb
Microlaena stipoides,graminoid
Muellerina eucalyptoides,shrub
Myoporum boninense,shrub
Myrsine variabilis,tree
Notelaea longifolia,tree
Notelaea ovata,shrub
Olearia microphylla,shrub
Olearia viscidula,shrub
Opercularia diphylla,herb
Opercularia varia,herb
Oplismenus hirtellus,graminoid
Oxalis perennans,herb
Oxalis thompsoniae,herb
Ozothamnus diosmifolius,shrub
Pandorea pandorana,climber_woody
Panicum simile,graminoid
Paspalidium criniforme,graminoid
Paspalidium distans,graminoid
Pelargonium inodorum,herb
Pellaea falcata,fern
Persicaria decipiens,herb
Persicaria lapathifolia,herb
Persoonia linearis,tree
Phragmites australis,graminoid
Phyllanthus gunnii,shrub
Pimelea linifolia,shrub
Pittosporum multiflorum,shrub
Pittosporum revolutum,shrub
Pittosporum undulatum,tree
Plantago debilis,herb
Plectranthus parviflorus,shrub
Poa sieberiana,graminoid
Polymeria calycina,herb
Polyscias sambucifolia,tree
Pomaderris ferruginea,shrub
Poranthera microphylla,herb
Portulaca oleracea,herb
Pseudognaphalium luteoalbum,herb
Pteridium esculentum,fern
Pterostylis nutans,herb
Pultenaea villosa,shrub
Rubus parvifolius,climber_woody
Rumex brownii,herb
Rytidosperma fulvum,graminoid
Rytidosperma setaceum,graminoid
Rytidosperma tenuius,graminoid
Sarcopetalum harveyanum,climber_woody
Scaevola albida,herb
Schoenus apogon,graminoid
Senecio hispidulus,herb
Solenogyne bellioides,herb
Stackhousia muricata,herb
Themeda triandra,graminoid
Thysanotus tuberosus,herb
Triglochin striata,herb
Triptilodiscus pygmaeus,herb
Typha orientalis,graminoid
Veronica plebeia,herb
Vincetoxicum barbatum,climber
Vittadinia cuneata,subshrub
Wahlenbergia gracilis,herb
Xanthorrhoea minor,shrub
Zieria smithii,shrub
Zornia dyctiocarpa,herb
Lagenophora sublyrata,herb
