taxon_name,water_association
Acacia binervia,no
Acacia brownii,no
Acacia decurrens,no
Acacia falcata,no
Acacia longifolia,no
Acacia parramattensis,no
Acacia pubescens,no
Acacia ulicifolia,no
Adiantum aethiopicum,no
Alternanthera denticulata,yes
Amyema gaudichaudii,no
Amyema miquelii,no
Angophora floribunda,no
Anthosachne scabra,no
Aristida vagans,no
Arthropodium sp. South-east Highlands (N.G.Walsh 811),no
Asperula conferta,no
Austrostipa rudis,no
Boronia polygalifolia,no
Bossiaea buxifolia,no
Bossiaea prostrata,no
Bothriochloa macra,no
Brachychiton populneus,no
Brachyscome triloba,no
Breynia oblongifolia,no
Brunoniella australis,no
Brunoniella pumilio,no
Bursaria spinosa,no
Caesia parviflora,no
Callistemon linearifolius,no
Callistemon linearis,no
Callistemon pinifolius,no
Callistemon salignus,no
Calotis cuneifolia,no
Calotis lappulacea,no
Carex inversa,no
Cassinia sifton,no
Cassytha paniculata,no
Casuarina glauca,yes
Centella asiatica,yes
Centipeda minima,yes
Cheilanthes sieberi,no
Chloris truncata,no
Chloris ventricosa,no
Chorizema parviflorum,no
Chrysocephalum apiculatum,no
Clematis aristata,no
Clematis glycinoides,no
Commelina cyanea,no
Correa reflexa,no
Cotula australis,no
Crassula sieberiana,no
Cyanthillium cinereum,no
Cymbopogon refractus,no
Daviesia ulicifolia,no
Dendrophthoe vitellina,no
Denhamia silvestris,no
Desmodium rhytidophyllum,no
Desmodium varians,no
Dianella caerulea,no
Dianella longifolia,no
Dianella revoluta,no
Dichelachne micrantha,no
Dichondra repens,no
Digitaria parviflora,no
Dillwynia sieberi,no
Diuris maculata,no
Dodonaea triquetra,no
Drosera peltata,no
Echinopogon caespitosus,no
Echinopogon ovatus,no
Einadia hastata,no
Einadia polygonoides,no
Einadia trigonos,no
Entolasia marginata,no
Entolasia stricta,no
Epilobium billardiereanum,no
Eragrostis brownii,no
Eragrostis leptostachya,no
Eremophila debilis,no
Eriochloa pseudoacrotricha,no
Eucalyptus amplifolia,no
Eucalyptus eugenioides,no
Eucalyptus fibrosa,no
Eucalyptus globoidea,no
Eucalyptus longifolia,no
Eucalyptus moluccana,no
Eucalyptus punctata,no
Eucalyptus resinifera,no
Eucalyptus tereticornis,no
Euchiton involucratus,no
Euchiton sphaericus,no
Eustrephus latifolius,no
Exocarpos cupressiformis,no
Gahnia aspera,no
Gahnia melanocarpa,no
Geranium solanderi,no
Glochidion ferdinandi,no
Glossocardia bidens,no
Glycine clandestina,no
Glycine microphylla,no
Glycine tabacina,no
Goodenia hederacea,no
Goodenia paniculata,yes
Gratiola pedunculata,yes
Hakea sericea,no
Hardenbergia violacea,no
Hibbertia aspera,no
Hibbertia diffusa,no
Hibbertia pedunculata,no
Homalanthus populifolius,no
Hovea linearis,no
Hydrocotyle sibthorpioides,yes
Hypericum gramineum,no
Hypoxis hygrometrica,no
Imperata cylindrica,no
Indigofera australis,no
Isolepis cernua,yes
Jacksonia scoparia,no
Juncus bufonius,yes
Juncus planifolius,yes
Juncus subsecundus,no
Juncus usitatus,yes
Kennedia rubicunda,no
Kunzea ambigua,no
Lachnagrostis filiformis,yes
Lagenophora sublyrata,no
Lasiopetalum parviflorum,no
Laxmannia gracilis,no
Lepidosperma laterale,no
Leptospermum polygalifolium,no
Leptospermum trinervium,no
Leucopogon affinis,no
Leucopogon juniperinus,no
Linum marginale,no
Lissanthe strigosa,no
Lobelia anceps,yes
Lobelia purpurascens,no
Lomandra filiformis,no
Lomandra longifolia,no
Lomandra multiflora,no
Lythrum hyssopifolia,yes
Macrozamia spiralis,no
Melaleuca decora,no
Melaleuca diosmatifolia,no
Melaleuca linariifolia,no
Melaleuca nodosa,no
Melaleuca styphelioides,no
Melaleuca thymifolia,no
Mentha diemenica,no
Microlaena stipoides,no
Muellerina eucalyptoides,no
Myoporum boninense,no
Myrsine variabilis,no
Notelaea longifolia,no
Notelaea ovata,no
Olearia microphylla,no
Olearia viscidula,no
Opercularia diphylla,no
Opercularia varia,no
Oplismenus hirtellus,no
Oxalis perennans,no
Oxalis thompsoniae,no
Ozothamnus diosmifolius,no
Pandorea pandorana,no
Panicum simile,no
Paspalidium criniforme,no
Paspalidium distans,no
Pelargonium inodorum,no
Pellaea falcata,no
Persicaria decipiens,yes
Persicaria lapathifolia,yes
Persoonia linearis,no
Phragmites australis,yes
Phyllanthus gunnii,no
Pimelea linifolia,no
Pittosporum multiflorum,no
Pittosporum revolutum,no
Pittosporum undulatum,no
Plantago debilis,no
Plectranthus parviflorus,no
Poa sieberiana,no
Polymeria calycina,no
Polyscias sambucifolia,no
Pomaderris ferruginea,no
Poranthera microphylla,no
Portulaca oleracea,no
Pseudognaphalium luteoalbum,no
Pteridium esculentum,no
Pterostylis nutans,no
Pultenaea villosa,no
Rubus parvifolius,no
Rumex brownii,no
Rytidosperma fulvum,no
Rytidosperma setaceum,no
Rytidosperma tenuius,no
Sarcopetalum harveyanum,no
Scaevola albida,no
Schoenus apogon,yes
Senecio hispidulus,no
Solenogyne bellioides,no
Stackhousia muricata,no
Themeda triandra,no
Thysanotus tuberosus,no
Triglochin striata,yes
Triptilodiscus pygmaeus,no
Typha orientalis,yes
Veronica plebeia,no
Vincetoxicum barbatum,no
Vittadinia cuneata,no
Wahlenbergia gracilis,no
Xanthorrhoea minor,no
Zieria smithii,no
Zornia dyctiocarpa,no
