family,number,percentage,status
Poaceae,25,26.88172043,extinct
Asteraceae,9,9.677419355,extinct
Juncaceae,7,7.52688172,extinct
Cyperaceae,5,5.376344086,extinct
Fabaceae,5,5.376344086,extinct
Asparagaceae,3,3.225806452,extinct
Campanulaceae,3,3.225806452,extinct
Chenopodiaceae,3,3.225806452,extinct
Orchidaceae,3,3.225806452,extinct
Goodeniaceae,2,2.150537634,extinct
Hemerocallidaceae,2,2.150537634,extinct
Myrtaceae,2,2.150537634,extinct
Plantaginaceae,2,2.150537634,extinct
Rhamnaceae,2,2.150537634,extinct
Santalaceae,2,2.150537634,extinct
Apocynaceae,1,1.075268817,extinct
Brassicaceae,1,1.075268817,extinct
Casuarinaceae,1,1.075268817,extinct
Droseraceae,1,1.075268817,extinct
Ericaceae,1,1.075268817,extinct
Euphorbiaceae,1,1.075268817,extinct
Haloragaceae,1,1.075268817,extinct
Hypericaceae,1,1.075268817,extinct
Lauraceae,1,1.075268817,extinct
Loganiaceae,1,1.075268817,extinct
Malvaceae,1,1.075268817,extinct
Pittosporaceae,1,1.075268817,extinct
Polygalaceae,1,1.075268817,extinct
Ranunculaceae,1,1.075268817,extinct
Rubiaceae,1,1.075268817,extinct
Rutaceae,1,1.075268817,extinct
Typhaceae,1,1.075268817,extinct
Violaceae,1,1.075268817,extinct
Poaceae,28,13.52657005,persister
Fabaceae,23,11.11111111,persister
Myrtaceae,22,10.62801932,persister
Asteraceae,19,9.178743961,persister
Asparagaceae,7,3.381642512,persister
Cyperaceae,6,2.898550725,persister
Hemerocallidaceae,4,1.93236715,persister
Juncaceae,4,1.93236715,persister
Loranthaceae,4,1.93236715,persister
Phyllanthaceae,4,1.93236715,persister
Pittosporaceae,4,1.93236715,persister
Campanulaceae,3,1.449275362,persister
Chenopodiaceae,3,1.449275362,persister
Dilleniaceae,3,1.449275362,persister
Ericaceae,3,1.449275362,persister
Goodeniaceae,3,1.449275362,persister
Plantaginaceae,3,1.449275362,persister
Polygonaceae,3,1.449275362,persister
Pteridaceae,3,1.449275362,persister
Rubiaceae,3,1.449275362,persister
Rutaceae,3,1.449275362,persister
Acanthaceae,2,0.966183575,persister
Araliaceae,2,0.966183575,persister
Celastraceae,2,0.966183575,persister
Convolvulaceae,2,0.966183575,persister
Geraniaceae,2,0.966183575,persister
Lamiaceae,2,0.966183575,persister
Malvaceae,2,0.966183575,persister
Oleaceae,2,0.966183575,persister
Orchidaceae,2,0.966183575,persister
Oxalidaceae,2,0.966183575,persister
Proteaceae,2,0.966183575,persister
Ranunculaceae,2,0.966183575,persister
Scrophulariaceae,2,0.966183575,persister
Amaranthaceae,1,0.483091787,persister
Apiaceae,1,0.483091787,persister
Apocynaceae,1,0.483091787,persister
Bignoniaceae,1,0.483091787,persister
Casuarinaceae,1,0.483091787,persister
Commelinaceae,1,0.483091787,persister
Crassulaceae,1,0.483091787,persister
Dennstaedtiaceae,1,0.483091787,persister
Euphorbiaceae,1,0.483091787,persister
Hypericaceae,1,0.483091787,persister
Hypoxidaceae,1,0.483091787,persister
Juncaginaceae,1,0.483091787,persister
Lauraceae,1,0.483091787,persister
Linaceae,1,0.483091787,persister
Lythraceae,1,0.483091787,persister
Menispermaceae,1,0.483091787,persister
Onagraceae,1,0.483091787,persister
Portulacaceae,1,0.483091787,persister
Primulaceae,1,0.483091787,persister
Rosaceae,1,0.483091787,persister
Santalaceae,1,0.483091787,persister
Sapindaceae,1,0.483091787,persister
Thymelaeaceae,1,0.483091787,persister
Typhaceae,1,0.483091787,persister
Xanthorrhoeaceae,1,0.483091787,persister
Zamiaceae,1,0.483091787,persister
