taxon_name,fire_response
Acacia stricta,resprouting_possible
Allocasuarina torulosa,resprouting_possible
Amphibromus neesii,fire_killed
Aristida ramosa,resprouting_possible
Arthropodium minus,resprouting_possible
Arthropodium strictum,resprouting_possible
Asterolasia correifolia,fire_killed
Astroloma humifusum,resprouting_possible
Austrostipa pubescens,resprouting_possible
Austrostipa scabra,resprouting_possible
Austrostipa setacea,resprouting_possible
Billardiera scandens,resprouting_possible
Bolboschoenus caldwellii,resprouting_possible
Bothriochloa decipiens,resprouting_possible
Brachyscome graminea,resprouting_possible
Cardamine lilacina,resprouting_possible
Cassytha glabella,fire_killed
Commersonia dasyphylla,fire_killed
Coronidium scorpioides,resprouting_possible
Cyperus mirus,
Cyperus polystachyos,fire_killed
Deyeuxia quadriseta,resprouting_possible
Dichelachne rara,resprouting_possible
Digitaria parviflora,resprouting_possible
Digitaria ramularis,resprouting_possible
Diuris sulphurea,resprouting_possible
Drosera peltata,resprouting_possible
Dysphania littoralis,fire_killed
Echinochloa telmatophila,
Einadia nutans,fire_killed
Eleocharis acuta,resprouting_possible
Eragrostis benthamii,resprouting_possible
Eragrostis elongata,fire_killed
Eragrostis parviflora,fire_killed
Eucalyptus sideroxylon,resprouting_possible
Euchiton japonicus,resprouting_possible
Euphorbia drummondii,fire_killed
Exocarpos strictus,resprouting_possible
Gompholobium glabratum,resprouting_possible
Gonocarpus tetragynus,resprouting_possible
Goodenia bellidifolia,resprouting_possible
Goodenia ovata,resprouting_possible
Hovea longifolia,resprouting_possible
Hypericum japonicum,resprouting_possible
Isotoma fluviatilis,resprouting_possible
Jacksonia scoparia,resprouting_possible
Juncus continuus,resprouting_possible
Juncus homalocaulis,resprouting_possible
Juncus mollis,resprouting_possible
Juncus polyanthemus,resprouting_possible
Juncus procerus,resprouting_possible
Juncus remotiflorus,resprouting_possible
Juncus vaginatus,resprouting_possible
Lachnagrostis aemula,resprouting_possible
Lepidosperma lineare,resprouting_possible
Lomandra fluviatilis,resprouting_possible
Maireana microphylla,fire_killed
Microtis sp.,resprouting_possible
Mitrasacme polymorpha,resprouting_possible
Omphacomeria acerba,resprouting_possible
Opercularia aspera,resprouting_possible
Panicum effusum,resprouting_possible
Parsonsia straminea,resprouting_possible
Paspalidium aversum,resprouting_possible
Paspalum vaginatum,resprouting_possible
Picris angustifolia,no_significant_fire_response
Plantago varia,resprouting_possible
Poa affinis,resprouting_possible
Poa labillardierei,resprouting_possible
Polygala japonica,resprouting_possible
Pomaderris ferruginea,fire_killed
Pomaderris lanigera,resprouting_possible
Pultenaea retusa,fire_killed
Ranunculus lappaceus,resprouting_possible
Rytidosperma bipartitum,resprouting_possible
Rytidosperma longifolium,resprouting_possible
Rytidosperma racemosum,resprouting_possible
Senecio bathurstianus,fire_killed
Senecio linearifolius,fire_killed
Senecio quadridentatus,fire_killed
Sphaeromorphaea australis,fire_killed
Sporobolus elongatus,no_significant_fire_response
Syncarpia glomulifera,resprouting_possible
Thelymitra pauciflora,resprouting_possible
Tricoryne elatior,resprouting_possible
Tricoryne simplex,resprouting_possible
Typha domingensis,resprouting_possible
Urochloa foliosa,fire_killed
Veronica calycina,resprouting_possible
Viola betonicifolia,resprouting_possible
Vittadinia muelleri,resprouting_possible
Wahlenbergia capillaris,resprouting_possible
Wahlenbergia stricta,resprouting_possible
