taxon_name,photosynthetic_pathway
Acacia binervia,c3
Acacia brownii,c3
Acacia decurrens,c3
Acacia falcata,c3
Acacia longifolia,c3
Acacia parramattensis,c3
Acacia ulicifolia,c3
Adiantum aethiopicum,c3
Alternanthera denticulata,c3
Amyema gaudichaudii,c3
Amyema miquelii,c3
Angophora floribunda,c3
Anthosachne scabra,c3
Aristida vagans,c4
Arthropodium sp. South-east Highlands (N.G.Walsh 811),c3
Asperula conferta,c3
Austrostipa rudis,c3
Bossiaea buxifolia,c3
Bossiaea prostrata,c3
Bothriochloa macra,c4
Brachychiton populneus,c3
Brachyscome triloba,c3
Breynia oblongifolia,c3
Brunoniella australis,c3
Brunoniella pumilio,c3
Bursaria spinosa,c3
Caesia parviflora,c3
Callistemon linearis,c3
Callistemon salignus,c3
Calotis cuneifolia,c3
Calotis lappulacea,c3
Carex inversa,c3
Cassytha paniculata,c3
Casuarina glauca,c3
Centella asiatica,c3
Centipeda minima,c3
Cheilanthes sieberi,c3
Chloris truncata,c4
Chloris ventricosa,c4
Chrysocephalum apiculatum,c3
Clematis aristata,c3
Clematis glycinoides,c3
Commelina cyanea,c3
Correa reflexa,c3
Cotula australis,c3
Crassula sieberiana,cam
Cyanthillium cinereum,c3
Cymbopogon refractus,c4
Daviesia ulicifolia,c3
Dendrophthoe vitellina,c3
Denhamia silvestris,c3
Desmodium rhytidophyllum,c3
Desmodium varians,c3
Dianella caerulea,c3
Dianella longifolia,c3
Dianella revoluta,c3
Dichelachne micrantha,c3
Dichondra repens,c3
Digitaria parviflora,c4
Dillwynia sieberi,c3
Diuris maculata,c3
Dodonaea triquetra,c3
Drosera peltata,c3
Echinopogon caespitosus,c3
Echinopogon ovatus,c3
Einadia hastata,c3
Einadia polygonoides,c3
Einadia trigonos,c3
Entolasia marginata,c3
Entolasia stricta,c3
Epilobium billardiereanum,c3
Eragrostis brownii,c4
Eragrostis leptostachya,c4
Eremophila debilis,c3
Eriochloa pseudoacrotricha,c4
Eucalyptus amplifolia,c3
Eucalyptus eugenioides,c3
Eucalyptus fibrosa,c3
Eucalyptus globoidea,c3
Eucalyptus longifolia,c3
Eucalyptus moluccana,c3
Eucalyptus punctata,c3
Euchiton involucratus,c3
Euchiton sphaericus,c3
Eustrephus latifolius,c3
Exocarpos cupressiformis,c3
Gahnia aspera,c3
Gahnia melanocarpa,c3
Geranium solanderi,c3
Glochidion ferdinandi,c3
Glossocardia bidens,c4
Glycine clandestina,c3
Glycine microphylla,c3
Glycine tabacina,c3
Goodenia hederacea,c3
Goodenia paniculata,c3
Gratiola pedunculata,c3
Hakea sericea,c3
Hardenbergia violacea,c3
Hibbertia aspera,c3
Hibbertia diffusa,c3
Hibbertia pedunculata,c3
Hovea linearis,c3
Hydrocotyle sibthorpioides,c3
Hypericum gramineum,c3
Hypoxis hygrometrica,c3
Imperata cylindrica,c4
Indigofera australis,c3
Isolepis cernua,c3
Jacksonia scoparia,c3
Juncus bufonius,c3
Juncus planifolius,c3
Juncus subsecundus,c3
Juncus usitatus,c3
Kennedia rubicunda,c3
Kunzea ambigua,c3
Lachnagrostis filiformis,c3
Laxmannia gracilis,c3
Lepidosperma laterale,c3
Leptospermum polygalifolium,c3
Leptospermum trinervium,c3
Leucopogon affinis,c3
Leucopogon juniperinus,c3
Linum marginale,c3
Lissanthe strigosa,c3
Lobelia anceps,c3
Lobelia purpurascens,c3
Lomandra filiformis,c3
Lomandra longifolia,c3
Lomandra multiflora,c3
Lythrum hyssopifolia,c3
Macrozamia spiralis,c3
Melaleuca diosmatifolia,c3
Melaleuca linariifolia,c3
Melaleuca nodosa,c3
Melaleuca thymifolia,c3
Mentha diemenica,c3
Microlaena stipoides,c3
Muellerina eucalyptoides,c3
Myoporum boninense,c3
Myrsine variabilis,c3
Notelaea longifolia,c3
Olearia microphylla,c3
Olearia viscidula,c3
Opercularia diphylla,c3
Opercularia varia,c3
Oplismenus hirtellus,c3
Oxalis perennans,c3
Oxalis thompsoniae,c3
Ozothamnus diosmifolius,c3
Pandorea pandorana,c3
Panicum simile,c4
Paspalidium criniforme,c4
Paspalidium distans,c4
Pelargonium inodorum,c3
Pellaea falcata,c3
Persicaria decipiens,c3
Persicaria lapathifolia,c3
Persoonia linearis,c3
Phragmites australis,c3
Phyllanthus gunnii,c3
Pimelea linifolia,c3
Pittosporum revolutum,c3
Pittosporum undulatum,c3
Plantago debilis,c3
Plectranthus parviflorus,cam
Poa sieberiana,c3
Polymeria calycina,c3
Polyscias sambucifolia,c3
Pomaderris ferruginea,c3
Poranthera microphylla,c3
Portulaca oleracea,c4
Pseudognaphalium luteoalbum,c3
Pteridium esculentum,c3
Pterostylis nutans,c3
Rubus parvifolius,c3
Rumex brownii,c3
Rytidosperma fulvum,c3
Rytidosperma setaceum,c3
Rytidosperma tenuius,c3
Sarcopetalum harveyanum,c3
Scaevola albida,c3
Schoenus apogon,c3
Senecio hispidulus,c3
Solenogyne bellioides,c3
Stackhousia muricata,c3
Themeda triandra,c4
Thysanotus tuberosus,c3
Triglochin striata,c3
Triptilodiscus pygmaeus,c3
Typha orientalis,c3
Veronica plebeia,c3
Vincetoxicum barbatum,c3
Vittadinia cuneata,c3
Wahlenbergia gracilis,c3
Xanthorrhoea minor,c3
Zieria smithii,c3
Zornia dyctiocarpa,c3
Cassinia sifton,c3
Lagenophora sublyrata,c3
Homalanthus populifolius,c3
Acacia pubescens,c3
Chorizema parviflorum,c3
Pultenaea villosa,c3
Lasiopetalum parviflorum,c3
Callistemon linearifolius,c3
Callistemon pinifolius,c3
Eucalyptus resinifera,c3
Eucalyptus tereticornis,c3
Melaleuca decora,c3
Melaleuca styphelioides,c3
Notelaea ovata,c3
Pittosporum multiflorum,c3
Boronia polygalifolia,c3
